; Gadget version 2.3.7 running on mfri-gadget Wed Jul 27 17:21:40 2022
; Predation output file for the following predators igfs
; Consuming the following preys lingimm
; Printing the following information at the end of each timestep
; year-step-area-pred length-prey length-biomass consumed
1984    1          1       len1     len152       9513
1984    1          1       len1     len156    11751.1
1984    2          1       len1      len20          0
1984    2          1       len1      len24          0
1984    2          1       len1      len28          0
1984    2          1       len1      len32          0
1984    2          1       len1      len36          0
1984    2          1       len1      len40          0
1984    2          1       len1      len44          0
1984    2          1       len1      len48          0
1984    2          1       len1      len52          0
1984    2          1       len1      len56          0
1984    2          1       len1      len60          0
1984    2          1       len1      len64          0
1984    2          1       len1      len68          0
1984    2          1       len1      len72          0
1984    2          1       len1      len76          0
1984    2          1       len1      len80          0
1984    2          1       len1      len84 1.76765e-09
1984    2          1       len1      len88 3.44869e-08
1984    2          1       len1      len92 5.71091e-07
1984    2          1       len1      len96 8.02963e-06
1984    2          1       len1     len100 9.5885e-05
1984    2          1       len1     len104 0.000972706
1984    2          1       len1     len108  0.0083847
1984    2          1       len1     len112  0.0614267
1984    2          1       len1     len116   0.382534
1984    2          1       len1     len120    2.02533
1984    2          1       len1     len124    9.11806
1984    2          1       len1     len128    34.9096
1984    2          1       len1     len132    113.678
1984    2          1       len1     len136    314.883
1984    2          1       len1     len140    741.998
1984    2          1       len1     len144    1487.58
1984    2          1       len1     len148    2537.57
1984    2          1       len1     len152    3683.42
1984    2          1       len1     len156       4550
1984    3          1       len1      len20          0
1984    3          1       len1      len24          0
1984    3          1       len1      len28          0
1984    3          1       len1      len32          0
1984    3          1       len1      len36          0
1984    3          1       len1      len40          0
1984    3          1       len1      len44          0
1984    3          1       len1      len48          0
1984    3          1       len1      len52          0
1984    3          1       len1      len56          0
1984    3          1       len1      len60          0
1984    3          1       len1      len64          0
1984    3          1       len1      len68          0
1984    3          1       len1      len72          0
1984    3          1       len1      len76          0
1984    3          1       len1      len80          0
1984    3          1       len1      len84 2.20974e-09
1984    3          1       len1      len88 4.3112e-08
1984    3          1       len1      len92 7.1392e-07
1984    3          1       len1      len96 1.00378e-05
1984    3          1       len1     len100 0.000119866
1984    3          1       len1     len104 0.00121598
1984    3          1       len1     len108  0.0104817
1984    3          1       len1     len112  0.0767895
1984    3          1       len1     len116   0.478205
1984    3          1       len1     len120    2.53187
1984    3          1       len1     len124    11.3985
1984    3          1       len1     len128    43.6404
1984    3          1       len1     len132    142.109
1984    3          1       len1     len136    393.634
1984    3          1       len1     len140    927.571
1984    3          1       len1     len144    1859.62
1984    3          1       len1     len148    3172.22
1984    3          1       len1     len152    4604.64
1984    3          1       len1     len156    5687.95
1984    4          1       len1      len20          0
1984    4          1       len1      len24          0
1984    4          1       len1      len28          0
1984    4          1       len1      len32          0
1984    4          1       len1      len36          0
1984    4          1       len1      len40          0
1984    4          1       len1      len44          0
1984    4          1       len1      len48          0
1984    4          1       len1      len52          0
1984    4          1       len1      len56          0
1984    4          1       len1      len60          0
1984    4          1       len1      len64          0
1984    4          1       len1      len68          0
1984    4          1       len1      len72          0
1984    4          1       len1      len76          0
1984    4          1       len1      len80 5.46349e-10
1984    4          1       len1      len84 1.2563e-08
1984    4          1       len1      len88 2.45104e-07
1984    4          1       len1      len92 4.05884e-06
1984    4          1       len1      len96 5.7068e-05
1984    4          1       len1     len100 0.000681471
1984    4          1       len1     len104 0.00691319
1984    4          1       len1     len108  0.0595915
1984    4          1       len1     len112    0.43657
1984    4          1       len1     len116    2.71874
1984    4          1       len1     len120    14.3944
1984    4          1       len1     len124    64.8036
1984    4          1       len1     len128    248.109
1984    4          1       len1     len132    807.931
1984    4          1       len1     len136    2237.93
1984    4          1       len1     len140    5273.51
1984    4          1       len1     len144    10572.5
1984    4          1       len1     len148      18035
1984    4          1       len1     len152    26178.7
1984    4          1       len1     len156    32337.7
1985    1          1       len1      len20          0
1985    1          1       len1      len24          0
1985    1          1       len1      len28          0
1985    1          1       len1      len32          0
1985    1          1       len1      len36          0
1985    1          1       len1      len40          0
1985    1          1       len1      len44          0
1985    1          1       len1      len48          0
1985    1          1       len1      len52          0
1985    1          1       len1      len56          0
1985    1          1       len1      len60          0
1985    1          1       len1      len64          0
1985    1          1       len1      len68          0
1985    1          1       len1      len72          0
1985    1          1       len1      len76          0
1985    1          1       len1      len80 1.56465e-10
1985    1          1       len1      len84 3.59784e-09
1985    1          1       len1      len88 7.01938e-08
1985    1          1       len1      len92 1.16239e-06
1985    1          1       len1      len96 1.63433e-05
1985    1          1       len1     len100 0.000195162
1985    1          1       len1     len104 0.00197982
1985    1          1       len1     len108   0.017066
1985    1          1       len1     len112   0.125027
1985    1          1       len1     len116   0.778601
1985    1          1       len1     len120    4.12232
1985    1          1       len1     len124    18.5587
1985    1          1       len1     len128    71.0542
1985    1          1       len1     len132    231.378
1985    1          1       len1     len136    640.905
1985    1          1       len1     len140    1510.25
1985    1          1       len1     len144    3027.79
1985    1          1       len1     len148    5164.92
1985    1          1       len1     len152    7497.16
1985    1          1       len1     len156    9260.97
1985    2          1       len1      len20          0
1985    2          1       len1      len24          0
1985    2          1       len1      len28          0
1985    2          1       len1      len32          0
1985    2          1       len1      len36          0
1985    2          1       len1      len40          0
1985    2          1       len1      len44          0
1985    2          1       len1      len48          0
1985    2          1       len1      len52          0
1985    2          1       len1      len56          0
1985    2          1       len1      len60          0
1985    2          1       len1      len64          0
1985    2          1       len1      len68          0
1985    2          1       len1      len72          0
1985    2          1       len1      len76          0
1985    2          1       len1      len80          0
1985    2          1       len1      len84 1.79892e-10
1985    2          1       len1      len88 3.50969e-09
1985    2          1       len1      len92 5.81193e-08
1985    2          1       len1      len96 8.17167e-07
1985    2          1       len1     len100 9.75811e-06
1985    2          1       len1     len104 9.89912e-05
1985    2          1       len1     len108 0.000853302
1985    2          1       len1     len112 0.00625133
1985    2          1       len1     len116  0.0389301
1985    2          1       len1     len120   0.206116
1985    2          1       len1     len124   0.927935
1985    2          1       len1     len128    3.55271
1985    2          1       len1     len132    11.5689
1985    2          1       len1     len136    32.0453
1985    2          1       len1     len140    75.5123
1985    2          1       len1     len144    151.389
1985    2          1       len1     len148    258.246
1985    2          1       len1     len152    374.858
1985    2          1       len1     len156    463.049
1985    3          1       len1      len20          0
1985    3          1       len1      len24          0
1985    3          1       len1      len28          0
1985    3          1       len1      len32          0
1985    3          1       len1      len36          0
1985    3          1       len1      len40          0
1985    3          1       len1      len44          0
1985    3          1       len1      len48          0
1985    3          1       len1      len52          0
1985    3          1       len1      len56          0
1985    3          1       len1      len60          0
1985    3          1       len1      len64          0
1985    3          1       len1      len68          0
1985    3          1       len1      len72          0
1985    3          1       len1      len76          0
1985    3          1       len1      len80          0
1985    3          1       len1      len84          0
1985    3          1       len1      len88 1.75484e-10
1985    3          1       len1      len92 2.90596e-09
1985    3          1       len1      len96 4.08583e-08
1985    3          1       len1     len100 4.87905e-07
1985    3          1       len1     len104 4.94956e-06
1985    3          1       len1     len108 4.26651e-05
1985    3          1       len1     len112 0.000312567
1985    3          1       len1     len116  0.0019465
1985    3          1       len1     len120  0.0103058
1985    3          1       len1     len124  0.0463967
1985    3          1       len1     len128   0.177636
1985    3          1       len1     len132   0.578446
1985    3          1       len1     len136    1.60226
1985    3          1       len1     len140    3.77562
1985    3          1       len1     len144    7.56947
1985    3          1       len1     len148    12.9123
1985    3          1       len1     len152    18.7429
1985    3          1       len1     len156    23.1524
1985    4          1       len1      len20          0
1985    4          1       len1      len24          0
1985    4          1       len1      len28          0
1985    4          1       len1      len32          0
1985    4          1       len1      len36          0
1985    4          1       len1      len40          0
1985    4          1       len1      len44          0
1985    4          1       len1      len48          0
1985    4          1       len1      len52          0
1985    4          1       len1      len56          0
1985    4          1       len1      len60          0
1985    4          1       len1      len64          0
1985    4          1       len1      len68          0
1985    4          1       len1      len72          0
1985    4          1       len1      len76          0
1985    4          1       len1      len80          0
1985    4          1       len1      len84          0
1985    4          1       len1      len88          0
1985    4          1       len1      len92 1.45298e-10
1985    4          1       len1      len96 2.04292e-09
1985    4          1       len1     len100 2.43953e-08
1985    4          1       len1     len104 2.47478e-07
1985    4          1       len1     len108 2.13325e-06
1985    4          1       len1     len112 1.56283e-05
1985    4          1       len1     len116 9.73251e-05
1985    4          1       len1     len120 0.00051529
1985    4          1       len1     len124 0.00231984
1985    4          1       len1     len128 0.00888178
1985    4          1       len1     len132  0.0289223
1985    4          1       len1     len136  0.0801132
1985    4          1       len1     len140   0.188781
1985    4          1       len1     len144   0.378474
1985    4          1       len1     len148   0.645615
1985    4          1       len1     len152   0.937145
1985    4          1       len1     len156    1.15762
1986    1          1       len1      len20          0
1986    1          1       len1      len24          0
1986    1          1       len1      len28          0
1986    1          1       len1      len32          0
1986    1          1       len1      len36          0
1986    1          1       len1      len40          0
1986    1          1       len1      len44          0
1986    1          1       len1      len48          0
1986    1          1       len1      len52          0
1986    1          1       len1      len56          0
1986    1          1       len1      len60          0
1986    1          1       len1      len64          0
1986    1          1       len1      len68          0
1986    1          1       len1      len72          0
1986    1          1       len1      len76          0
1986    1          1       len1      len80          0
1986    1          1       len1      len84          0
1986    1          1       len1      len88          0
1986    1          1       len1      len92          0
1986    1          1       len1      len96 1.02146e-10
1986    1          1       len1     len100 1.21976e-09
1986    1          1       len1     len104 1.23739e-08
1986    1          1       len1     len108 1.06663e-07
1986    1          1       len1     len112 7.81416e-07
1986    1          1       len1     len116 4.86626e-06
1986    1          1       len1     len120 2.57645e-05
1986    1          1       len1     len124 0.000115992
1986    1          1       len1     len128 0.000444089
1986    1          1       len1     len132 0.00144611
1986    1          1       len1     len136 0.00400566
1986    1          1       len1     len140 0.00943904
1986    1          1       len1     len144  0.0189237
1986    1          1       len1     len148  0.0322808
1986    1          1       len1     len152  0.0468573
1986    1          1       len1     len156  0.0578811
1986    2          1       len1      len20          0
1986    2          1       len1      len24          0
1986    2          1       len1      len28          0
1986    2          1       len1      len32          0
1986    2          1       len1      len36          0
1986    2          1       len1      len40          0
1986    2          1       len1      len44          0
1986    2          1       len1      len48          0
1986    2          1       len1      len52          0
1986    2          1       len1      len56          0
1986    2          1       len1      len60          0
1986    2          1       len1      len64          0
1986    2          1       len1      len68          0
1986    2          1       len1      len72          0
1986    2          1       len1      len76          0
1986    2          1       len1      len80          0
1986    2          1       len1      len84          0
1986    2          1       len1      len88          0
1986    2          1       len1      len92          0
1986    2          1       len1      len96          0
1986    2          1       len1     len100          0
1986    2          1       len1     len104 6.18695e-10
1986    2          1       len1     len108 5.33314e-09
1986    2          1       len1     len112 3.90708e-08
1986    2          1       len1     len116 2.43313e-07
1986    2          1       len1     len120 1.28823e-06
1986    2          1       len1     len124 5.79959e-06
1986    2          1       len1     len128 2.22044e-05
1986    2          1       len1     len132 7.23057e-05
1986    2          1       len1     len136 0.000200283
1986    2          1       len1     len140 0.000471952
1986    2          1       len1     len144 0.000946184
1986    2          1       len1     len148 0.00161404
1986    2          1       len1     len152 0.00234286
1986    2          1       len1     len156 0.00289405
1986    3          1       len1      len20          0
1986    3          1       len1      len24          0
1986    3          1       len1      len28          0
1986    3          1       len1      len32          0
1986    3          1       len1      len36          0
1986    3          1       len1      len40          0
1986    3          1       len1      len44          0
1986    3          1       len1      len48          0
1986    3          1       len1      len52          0
1986    3          1       len1      len56          0
1986    3          1       len1      len60          0
1986    3          1       len1      len64          0
1986    3          1       len1      len68          0
1986    3          1       len1      len72          0
1986    3          1       len1      len76          0
1986    3          1       len1      len80          0
1986    3          1       len1      len84          0
1986    3          1       len1      len88          0
1986    3          1       len1      len92          0
1986    3          1       len1      len96          0
1986    3          1       len1     len100          0
1986    3          1       len1     len104          0
1986    3          1       len1     len108 2.66657e-10
1986    3          1       len1     len112 1.95354e-09
1986    3          1       len1     len116 1.21656e-08
1986    3          1       len1     len120 6.44113e-08
1986    3          1       len1     len124 2.8998e-07
1986    3          1       len1     len128 1.11022e-06
1986    3          1       len1     len132 3.61529e-06
1986    3          1       len1     len136 1.00141e-05
1986    3          1       len1     len140 2.35976e-05
1986    3          1       len1     len144 4.73092e-05
1986    3          1       len1     len148 8.07019e-05
1986    3          1       len1     len152 0.000117143
1986    3          1       len1     len156 0.000144703
1986    4          1       len1      len20          0
1986    4          1       len1      len24          0
1986    4          1       len1      len28          0
1986    4          1       len1      len32          0
1986    4          1       len1      len36          0
1986    4          1       len1      len40          0
1986    4          1       len1      len44          0
1986    4          1       len1      len48          0
1986    4          1       len1      len52          0
1986    4          1       len1      len56          0
1986    4          1       len1      len60          0
1986    4          1       len1      len64          0
1986    4          1       len1      len68          0
1986    4          1       len1      len72          0
1986    4          1       len1      len76          0
1986    4          1       len1      len80          0
1986    4          1       len1      len84          0
1986    4          1       len1      len88          0
1986    4          1       len1      len92          0
1986    4          1       len1      len96          0
1986    4          1       len1     len100          0
1986    4          1       len1     len104          0
1986    4          1       len1     len108          0
1986    4          1       len1     len112          0
1986    4          1       len1     len116 6.08282e-10
1986    4          1       len1     len120 3.22056e-09
1986    4          1       len1     len124 1.4499e-08
1986    4          1       len1     len128 5.55111e-08
1986    4          1       len1     len132 1.80764e-07
1986    4          1       len1     len136 5.00707e-07
1986    4          1       len1     len140 1.17988e-06
1986    4          1       len1     len144 2.36546e-06
1986    4          1       len1     len148 4.03509e-06
1986    4          1       len1     len152 5.85716e-06
1986    4          1       len1     len156 7.23514e-06
1987    1          1       len1      len20          0
1987    1          1       len1      len24          0
1987    1          1       len1      len28          0
1987    1          1       len1      len32          0
1987    1          1       len1      len36          0
1987    1          1       len1      len40          0
1987    1          1       len1      len44          0
1987    1          1       len1      len48          0
1987    1          1       len1      len52          0
1987    1          1       len1      len56          0
1987    1          1       len1      len60          0
1987    1          1       len1      len64          0
1987    1          1       len1      len68          0
1987    1          1       len1      len72          0
1987    1          1       len1      len76          0
1987    1          1       len1      len80 1.77587e-10
1987    1          1       len1      len84          0
1987    1          1       len1      len88          0
1987    1          1       len1      len92          0
1987    1          1       len1      len96          0
1987    1          1       len1     len100          0
1987    1          1       len1     len104          0
1987    1          1       len1     len108          0
1987    1          1       len1     len112          0
1987    1          1       len1     len116          0
1987    1          1       len1     len120 1.61028e-10
1987    1          1       len1     len124 7.24949e-10
1987    1          1       len1     len128 2.77556e-09
1987    1          1       len1     len132 9.03821e-09
1987    1          1       len1     len136 2.50354e-08
1987    1          1       len1     len140 5.8994e-08
1987    1          1       len1     len144 1.18273e-07
1987    1          1       len1     len148 2.01755e-07
1987    1          1       len1     len152 2.92858e-07
1987    1          1       len1     len156 3.61757e-07
1987    2          1       len1      len20          0
1987    2          1       len1      len24          0
1987    2          1       len1      len28          0
1987    2          1       len1      len32          0
1987    2          1       len1      len36          0
1987    2          1       len1      len40          0
1987    2          1       len1      len44          0
1987    2          1       len1      len48          0
1987    2          1       len1      len52          0
1987    2          1       len1      len56          0
1987    2          1       len1      len60          0
1987    2          1       len1      len64          0
1987    2          1       len1      len68          0
1987    2          1       len1      len72          0
1987    2          1       len1      len76          0
1987    2          1       len1      len80          0
1987    2          1       len1      len84 6.77608e-10
1987    2          1       len1      len88          0
1987    2          1       len1      len92          0
1987    2          1       len1      len96          0
1987    2          1       len1     len100          0
1987    2          1       len1     len104          0
1987    2          1       len1     len108          0
1987    2          1       len1     len112          0
1987    2          1       len1     len116          0
1987    2          1       len1     len120          0
1987    2          1       len1     len124          0
1987    2          1       len1     len128 1.38778e-10
1987    2          1       len1     len132 4.51911e-10
1987    2          1       len1     len136 1.25177e-09
1987    2          1       len1     len140 2.9497e-09
1987    2          1       len1     len144 5.91365e-09
1987    2          1       len1     len148 1.00877e-08
1987    2          1       len1     len152 1.46429e-08
1987    2          1       len1     len156 1.80878e-08
1987    3          1       len1      len20          0
